name,ask_id,museum_id,municipality,investigated,radiocarbon,rcarb_cor,multiphase,reference,reported_min_elev,reported_max_elev,dating_method,reported_earliest_bce,reported_latest_bce
Hydal 6,138155,C59659,Bamble,t,f,,f,Koxvold 2017i,79,79,shore_typo,-8500,-8300
Hydal 5,138159,C59658,Bamble,t,t,f,f,Koxvold 2016,76,77,shore_typo,-8500,-8200
Sandtrahelleren,77378,"C38230, C39196",Larvik,t,f,,f,Østmo 1993,,,typo,-4500,-1800
Rognlien,11534,FC29637,Porsgrunn,t,t,t,t,Ingstad 1970,,,c14,,
Løvås 1,40831,C62085,Horten,t,t,t,t,Reitan & Hårstad 2021,,,c14,-8250,-7600
Løvås 2,40831,C62086,Horten,t,t,t,t,Reitan & Hårstad 2021,,,c14,-8250,-7700
Løvås 3,40831,C62087,Horten,t,t,t,f,Reitan & Hårstad 2021,78,89,shore_typo,-8250,-7600
Løvås 4,40831,C62088,Horten,t,f,,f,Reitan & Hårstad 2021,77,81,shore_typo,-7600,-7300
Olsmyren,229813,C62093,Horten,t,f,,f,Hårstad 2021,70,70,shore_typo,-7300,-7050
Viulsrød 1,"62027-2, 62027-4",C62095,Horten,t,f,,f,Reitan & Hårstad 2021b,71,74,shore_typo,-7400,-7100
Viulsrød 2,"62027-1, 62027-3",C62095,Horten,t,t,t,t,Reitan & Hårstad 2021b,67,69,shore_typo,-7100,-6900
Råen 1,58622,C62091,Horten,t,f,,f,Hårstad 2021b,65,65,shore_typo,-7000,-6800
Adal vestre 1,229871-1,C62089,Horten,t,t,t,t,Granados 2021,63,70,shore_typo,-7100,-6700
Adal vestre 2,229871-2,C62090,Horten,t,t,t,t,Granados 2021,66,69,shore_typo,-7300,-6600
Alveberget 8,"219491, 1949",C61487,Arendal,t,t,t,t,Mansrud 2021,,,c14,-3300,-2200
Alveberget 6,173492,C61488,Arendal,t,f,,f,Stokke 2021,20,22,shore_typo,-5600,-4500
Auve,49729,C38626,Sandefjord,t,t,t,f,Østmo 2008,,,c14,,
Brink 1,3101-1,,Sandefjord,t,f,,,Trinterud 1997,63,63,shore_typo,-6500,-6500
Brink 3 R1,3101-1,,Sandefjord,t,t,t,t,Triuterud 1997,55,55,c14,-6000,-825
Brink 3 R2,3101-1,,Sandefjord,t,f,,,Triuterud 1997,55,55,shore_typo,-6000,-6000
Melau,78208,,Larvik,t,f,,f,Matsumoto 2004,100,100,shore_typo,-9500,-8200
Austein 1,70921,,Larvik,t,f,,f,Matsumoto 2004,105,110,shore_typo,-9500,-8200
Sande Søndre J,134275,52712,Nøtterøy,t,t,f,t,Karlsen et al. 2001,25,25,shore_typo,-3300,-2300
Tangen,97144,50180,Kragerø,f,f,,f,Glørstad 2005,20,20,shore_typo,-3700,-3400
Krøgenes D9,161276,,Arendal,t,,,,Solberg 2017?,16,16,,,
Krøgenes D8,161278,59695,Arendal,t,f,,t,Viken 2017,39,39,shore_typo,-9250,-8300
Krøgenes D6,161292,59693,Arendal,t,f,,f,Viken 2017b,40,40,shore_typo,-9300,-8300
Krøgenes D3,161295,59690,Arendal,t,f,,t,Viken 2017d,38,42,shore_typo,-9300,-8250
Sagene B5,161298,59678,Arendal,t,t,t,t,Viken 2017c,45,47,shore_typo,-8800,-8700
Hesthag C3,170177,59684,Arendal,t,,,f,Reitan 2017,,,shore_typo,-8000,-8000
Hesthag C6,170178,59687,Arendal,t,,,t,Reitan 2017,,,shore_typo,-8000,-1750
Hesthag C5,170189,59686,Arendal,t,f,,f,Viken 2017d,,,shore_typo,-2200,-1100
Sagene B8,176195,59681,Arendal,t,f,,f,,39,39,,,
Sagene B7,176197,59680,Arendal,t,f,,f,,50,50,,,
Kvastad A7,172665,59671,Tvedestrand,t,t,f,t,Darmark 2015,54,54,shore_typo,-8700,-8300
Kvastad A8,170971,59672,Tvedestrand,t,f,,f,Darmark 2017,50,55,shore_typo,-8600,-8500
Kvastad A3,172658,59667,Tvedestrand,t,t,f,f,Stokke & Bjørkli 2016,56,58,shore_typo,-8300,-8000
